# Kitaev S=1/2 model - ITE flow
# D=4, m=25, tau=1.00000000E-02, h=0.00000000000000E+00
# Iter		Energy			Convergence		tau			Coarse-grain steps
0		-0.653870201329889	0.000000040361937	0.000000000000000	20
100		0.772931437075162	0.000275559673704	0.010000000000000	20
200		0.773211988493317	0.000106262741266	0.010000000000000	20
300		0.775319579621454	0.002015302623909	0.010000000000000	20
400		0.773355487756739	0.000695172360390	0.010000000000000	20
500		0.771639915198266	0.001178326630058	0.010000000000000	20
600		0.773689036106367	0.000725751894146	0.010000000000000	20
700		0.773066765865046	0.000226588867540	0.010000000000000	20
800		0.774584534210941	0.000119270038034	0.010000000000000	20
900		0.772673503911301	0.000327860805434	0.010000000000000	20
1000		0.771048216939328	0.000770523055160	0.010000000000000	20
1100		0.774761753928513	0.001386823206982	0.010000000000000	20
1200		0.773904564124722	0.000151114077451	0.010000000000000	20
1300		0.773212857189330	0.000592428445334	0.010000000000000	20
